iter	MAE
0	0.5756570289
1	0.5558386547
2	0.5375430539
3	0.5223961648
4	0.5072916387
5	0.491410852
6	0.4769016594
7	0.4625971424
8	0.4488036895
9	0.4366064886
10	0.4244482212
11	0.4134447487
12	0.4023519517
13	0.3918151089
14	0.3832940671
15	0.3739092349
16	0.365745859
17	0.3591121982
18	0.3523962567
19	0.3460068356
20	0.3387145294
21	0.3330530304
22	0.3251808169
23	0.317945787
24	0.3101201983
25	0.3035745748
26	0.2978382358
27	0.2912556905
28	0.2858396695
29	0.2800891915
30	0.2754153876
31	0.2703561822
32	0.2669712669
33	0.2621348783
34	0.2582001967
35	0.2540678839
36	0.250386264
37	0.2476344188
38	0.2455677908
39	0.2431161995
40	0.2397349911
41	0.237227405
42	0.2349880797
43	0.2322360752
44	0.2301658396
45	0.2275376696
46	0.2255460334
47	0.2230422132
48	0.2211668367
49	0.2192975435
50	0.2174538299
51	0.2154538274
52	0.2138563566
53	0.2121187057
54	0.2103911467
55	0.2092909062
56	0.2082384909
57	0.2069670893
58	0.2057716478
59	0.2044922869
60	0.2033014611
61	0.2020511289
62	0.2015351007
63	0.2004266769
64	0.1996939234
65	0.1987112699
66	0.197900303
67	0.1971202833
68	0.1963256045
69	0.195406431
70	0.1943546614
71	0.1934123812
72	0.1926724438
73	0.1920244226
74	0.1913252095
75	0.1906091736
76	0.1898810294
77	0.1896064051
78	0.1886857976
79	0.1879715252
80	0.1873855932
81	0.1868368049
82	0.1860775334
83	0.1855851475
84	0.1850494032
85	0.1846017949
86	0.1840769113
87	0.1833650378
88	0.1827398376
89	0.1825019301
90	0.1822883254
91	0.1818477901
92	0.181671319
93	0.1815085214
94	0.180967981
95	0.1804990435
96	0.1801665074
97	0.1797481505
98	0.1792755438
99	0.1789749198
100	0.1786662953
101	0.1782879833
102	0.1779039354
103	0.1775751068
104	0.17729099
105	0.1770199851
106	0.1768421538
107	0.1766671735
108	0.1764975154
109	0.1760083067
110	0.1757368063
111	0.1753553503
112	0.1749317506
113	0.1744692547
114	0.1743790121
115	0.1743334608
116	0.17394547
117	0.1736759797
118	0.1734219005
119	0.1731536335
120	0.1728421182
121	0.1724673085
122	0.1723500816
123	0.1722372474
124	0.1719760413
125	0.1719596158
126	0.1717342413
127	0.1713468552
128	0.1711259473
129	0.1709589291
130	0.1706517165
131	0.170492141
132	0.1702803288
133	0.1697977127
134	0.1696045422
135	0.16938151
136	0.169166947
137	0.1688553918
138	0.1687410699
139	0.1685168916
140	0.1684410889
141	0.1680917999
142	0.1677580209
143	0.1675610689
144	0.1674444718
145	0.1671859983
146	0.1669570886
147	0.1668517304
148	0.1665520068
149	0.1664195717
150	0.1661399914
151	0.1660150268
152	0.165893085
153	0.1656439992
154	0.165405813
155	0.1652418825
156	0.1651498821
157	0.1649771064
158	0.1646986036
159	0.1645218132
160	0.1643197844
161	0.1640675034
162	0.1638154072
163	0.1636219441
164	0.1633861776
165	0.1632429964
166	0.1629572033
167	0.1627206933
168	0.1624893325
169	0.1623680036
170	0.1620311433
171	0.1618072012
172	0.1616171046
173	0.1614524654
174	0.1612915695
175	0.1611233804
176	0.1610312599
177	0.1608557789
178	0.1606267181
179	0.160452381
180	0.1602333369
181	0.1600501855
182	0.1597308384
183	0.1596517033
184	0.1595198587
185	0.1595027604
186	0.1593665874
187	0.1592321247
188	0.1591715744
189	0.158924089
190	0.158744675
191	0.1585659184
192	0.1583466938
193	0.1582174716
194	0.1580171692
195	0.1576692692
196	0.1575205447
197	0.1573887247
198	0.1572618524
199	0.1571144167
200	0.1570254105
201	0.1568393101
202	0.1566437954
203	0.1565268996
204	0.1563321367
205	0.156223416
206	0.1560848546
207	0.156008076
208	0.1558053944
209	0.1556897403
210	0.1555672202
211	0.1554756806
212	0.1551853853
213	0.1550004156
214	0.1548816453
215	0.1546951188
216	0.1546299994
217	0.1543805524
218	0.1542767577
219	0.1540850512
220	0.1540302811
221	0.1539341426
222	0.1538044958
223	0.1536630595
224	0.1535701559
225	0.1535283443
226	0.1534236201
227	0.1533367486
228	0.1532188685
229	0.1531296398
230	0.1530793006
231	0.1530577657
232	0.152992324
233	0.1527404869
234	0.1526390554
235	0.1525160531
236	0.1524661616
237	0.1523795385
238	0.1522892345
239	0.1522207061
240	0.1520837672
241	0.1519954707
242	0.1518661915
243	0.1516821029
244	0.1516201302
245	0.1514964766
246	0.1514464028
247	0.1513766643
248	0.1513033152
249	0.151262059
250	0.1511377522
251	0.1510636603
252	0.1510292328
253	0.1509267386
254	0.1508352951
255	0.150776822
256	0.1507126808
257	0.1506178085
258	0.150512398
259	0.1504240012
260	0.1502323721
261	0.150124721
262	0.1499853665
263	0.1498080109
264	0.1496615918
265	0.1495672593
266	0.14948276
267	0.1494135938
268	0.149372302
269	0.1493322026
270	0.1491394402
271	0.1489701189
272	0.1488918739
273	0.1487527966
274	0.1486844202
275	0.1485997448
276	0.1485074917
277	0.1484027745
278	0.1483486902
279	0.1483090257
280	0.1482631698
281	0.1482437179
282	0.1481462582
283	0.1480971879
284	0.1480443035
285	0.1479214873
286	0.1477865456
287	0.1476947933
288	0.1476546827
289	0.1475546463
290	0.1473512041
291	0.1472732961
292	0.1471691215
293	0.1471023201
294	0.1469928693
295	0.1468500216
296	0.1467309181
297	0.146662998
298	0.1465919671
299	0.1465329897
300	0.1464348111
301	0.1462914196
302	0.1461047686
303	0.1459710859
304	0.1458968787
305	0.1458475657
306	0.1458020377
307	0.14572411
308	0.1455801212
309	0.1454468941
310	0.1453341241
311	0.145268517
312	0.1451539746
313	0.1450989967
314	0.1450478309
315	0.1450158389
316	0.1448756515
317	0.1448047184
318	0.1447888385
319	0.1446983039
320	0.1445572626
321	0.1445269613
322	0.1444795264
323	0.144399733
324	0.1443085391
325	0.1442597773
326	0.1441706905
327	0.1440500997
328	0.1439635666
329	0.1438938392
330	0.1438036912
331	0.1437138696
332	0.1436489167
333	0.1435636994
334	0.1435360633
335	0.1434351862
336	0.143331529
337	0.1432503653
338	0.1431320992
339	0.1429393816
340	0.1428378673
341	0.1427322009
342	0.1426876372
343	0.1425020845
344	0.1424309565
345	0.1424036772
346	0.1423058383
347	0.1422178715
348	0.1421966761
349	0.1420958265
350	0.1420233147
351	0.1419604022
352	0.1418862109
353	0.1418392403
354	0.1417176539
355	0.1416137791
356	0.1415820255
357	0.141499272
358	0.1414747214
359	0.1414069385
360	0.1413147996
361	0.1411857287
362	0.1411449958
363	0.1410918077
364	0.1410187884
365	0.1409779508
366	0.1408880404
367	0.1407529303
368	0.140718699
369	0.1406578235
370	0.1405632189
371	0.1404667292
372	0.1403978606
373	0.1403342215
374	0.140255122
375	0.1402177347
376	0.1402027208
377	0.1401574149
378	0.1400562
379	0.1399958052
380	0.1399237758
381	0.1398194691
382	0.1397026007
383	0.1395393086
384	0.1394278232
385	0.1393520658
386	0.1392240185
387	0.1391636463
388	0.1391343589
389	0.1390581441
390	0.1389713686
391	0.1389161502
392	0.1388394623
393	0.1387823377
394	0.1387205556
395	0.1386338547
396	0.1385773929
397	0.1385461493
398	0.1385238657
399	0.1384887276
400	0.1384033148
401	0.1383708361
402	0.1382349555
403	0.1381336986
404	0.1379953383
405	0.1379696974
406	0.1379371787
407	0.1378694147
408	0.1378059486
409	0.1377602481
410	0.1377352091
411	0.1377066297
412	0.1376900116
413	0.1376497295
414	0.1376351706
415	0.1375766854
416	0.1375320467
417	0.1374510636
418	0.1373652588
419	0.1373208436
420	0.1372771183
421	0.1372078149
422	0.1371562411
423	0.1371243641
424	0.1370744989
425	0.137002478
426	0.1369225338
427	0.1369088795
428	0.1368581509
429	0.136851438
430	0.1368131124
431	0.1367913105
432	0.1367276911
433	0.1366151321
434	0.1364990174
435	0.1364094807
436	0.1363346502
437	0.1363187232
438	0.1362873511
439	0.1362213742
440	0.1361853058
441	0.1361657087
442	0.1360777612
443	0.1360496037
444	0.1359373148
445	0.1358647166
446	0.1358231271
447	0.1356842475
448	0.1356308233
449	0.135584155
450	0.1355355859
451	0.1354740035
452	0.1354297944
453	0.1353604087
454	0.1353441733
455	0.1352668057
456	0.1351923863
457	0.1351623069
458	0.1350900826
459	0.1350311198
460	0.1349964854
461	0.1348960932
462	0.1347669103
463	0.1346831993
464	0.1346266511
465	0.1345687438
466	0.1344640095
467	0.1344424335
468	0.1343920445
469	0.1343631041
470	0.134338633
471	0.1342975286
472	0.134259361
473	0.1342089469
474	0.1341912989
475	0.1341661509
476	0.1341472689
477	0.1340966218
478	0.1340640354
479	0.1340354734
480	0.133999708
481	0.1339633763
482	0.1338981186
483	0.1338515616
484	0.1337957225
485	0.1337843125
486	0.1337225178
487	0.133656407
488	0.1335872873
489	0.1335216561
490	0.1335090256
491	0.1334872368
492	0.1334362771
493	0.1333798052
494	0.1332263127
495	0.1331989372
496	0.1331733759
497	0.1331151605
498	0.1331020621
499	0.1330558263
500	0.1330226466
501	0.1329946463
502	0.132952125
503	0.1329128347
504	0.1328834184
505	0.1328081396
506	0.1327455431
507	0.1326709234
508	0.1326151611
509	0.132550269
510	0.1325008155
511	0.1324446161
512	0.1324016207
513	0.1323146085
514	0.1321975433
515	0.1321738797
516	0.1320725974
517	0.132031564
518	0.1319995615
519	0.1319378352
520	0.131930602
521	0.1319064249
522	0.1318912864
523	0.1318272771
524	0.1318003391
525	0.1316856674
526	0.1316062689
527	0.1315316824
528	0.1314896976
529	0.1314240901
530	0.1313835504
531	0.131353191
532	0.1312711193
533	0.1312300701
534	0.1311980518
535	0.1311683017
536	0.1311460702
537	0.1310636304
538	0.1310463584
539	0.1310138197
540	0.1309819743
541	0.1309347279
542	0.1308945957
543	0.1308630879
544	0.130840353
545	0.1307967153
546	0.130732345
547	0.1306914056
548	0.1306496293
